submission_id,household_id,action,column,before,after,reason
uuid:00030,HH-IBA-0030,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00199,HH-KIR-0199,normalise_categorical,district, Kiruhura ,kiruhura,whitespace or case standardised
uuid:00027,HH-IBA-0027,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00235,HH-KIR-0235,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00282,HH-IBA-0282,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00000,HH-IBA-0000,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00066,HH-IBA-0066,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00273,HH-IBA-0273,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00407,HH-RUB-0407,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00324,HH-IBA-0324,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00078,HH-IBA-0078,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00214,HH-KIR-0214,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00107,HH-RUB-0107,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00397,HH-KIR-0397,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00069,HH-IBA-0069,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00219,HH-IBA-0219,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00076,HH-KIR-0076,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00007,HH-KIR-0007,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00124,HH-KIR-0124,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00286,HH-KIR-0286,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00110,HH-RUB-0110,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00125,HH-RUB-0125,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00223,HH-KIR-0223,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00376,HH-KIR-0376,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00293,HH-RUB-0293,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00274,HH-KIR-0274,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00340,HH-KIR-0340,normalise_categorical,district, Kiruhura ,kiruhura,whitespace or case standardised
uuid:00061,HH-KIR-0061,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
